entry_idx,exit_idx,total_pnl_atr,long_pnl,short_pnl,holding_bars,entry_time,exit_time,symbol,gate_prob,date,pnl_after_cost
545,546,-0.06230056935496005,0.17539886129017948,-0.3000000000000996,1,2025-01-03 12:06:00,2025-01-03 12:07:00,QQQ,0.4319654703140259,2025-01-03,-0.10230056935496004
547,548,0.03842689723884121,-0.2999999999998024,0.37685379447748485,1,2025-01-03 12:08:00,2025-01-03 12:09:00,QQQ,0.5859213471412659,2025-01-03,-0.0015731027611587886
549,550,0.4271828010957639,0.5528703180874621,0.30149528410406573,1,2025-01-03 12:10:00,2025-01-03 12:11:00,QQQ,0.5859213471412659,2025-01-03,0.3871828010957639
551,552,0.26554307526938403,-0.30000000000001753,0.8310861505387857,1,2025-01-03 12:12:00,2025-01-03 12:13:00,QQQ,0.4319654703140259,2025-01-03,0.22554307526938402
611,612,0.12888013856183952,0.5577602771234053,-0.2999999999997262,1,2025-01-03 13:12:00,2025-01-03 13:13:00,QQQ,0.536796510219574,2025-01-03,0.08888013856183952
619,620,0.061482372929444695,0.42296474585892163,-0.30000000000003224,1,2025-01-03 13:20:00,2025-01-03 13:21:00,QQQ,0.4319654703140259,2025-01-03,0.021482372929444694
625,626,0.011105459477892016,0.32221091895547954,-0.2999999999996955,1,2025-01-03 13:26:00,2025-01-03 13:27:00,QQQ,0.4319654703140259,2025-01-03,-0.028894540522107985
627,628,0.5406898861354357,1.3813797722710695,-0.3000000000001981,1,2025-01-03 13:28:00,2025-01-03 13:29:00,QQQ,0.408713698387146,2025-01-03,0.5006898861354356
629,630,0.21158777900930997,0.2432483773949483,0.17992718062367166,1,2025-01-03 13:30:00,2025-01-03 13:31:00,QQQ,0.6348623633384705,2025-01-03,0.17158777900930997
631,632,1.0565211859014776,0.2777961572721224,1.8352462145308328,1,2025-01-03 13:32:00,2025-01-03 13:33:00,QQQ,0.5859213471412659,2025-01-03,1.0165211859014776
638,639,0.025922962309034375,0.35184592461787745,-0.2999999999998087,1,2025-01-03 13:39:00,2025-01-03 13:40:00,QQQ,0.536796510219574,2025-01-03,-0.014077037690965626
641,642,0.1451492028888784,-0.30000000000007443,0.5902984057778312,1,2025-01-03 13:42:00,2025-01-03 13:43:00,QQQ,0.4174528121948242,2025-01-03,0.10514920288887838
644,645,-0.06576523226757702,0.16846953546473525,-0.2999999999998893,1,2025-01-03 13:45:00,2025-01-03 13:46:00,QQQ,0.408713698387146,2025-01-03,-0.10576523226757703
649,650,0.44895448058946585,-0.2999999999997948,1.1979089611787266,1,2025-01-03 13:50:00,2025-01-03 13:51:00,QQQ,0.4319654703140259,2025-01-03,0.4089544805894659
652,653,0.16401273885397621,0.628025477707967,-0.3000000000000146,1,2025-01-03 13:53:00,2025-01-03 13:54:00,QQQ,0.5859213471412659,2025-01-03,0.1240127388539762
670,671,-0.033009656070529,-0.2999999999999044,0.2339806878588464,1,2025-01-03 14:11:00,2025-01-03 14:12:00,QQQ,0.4319654703140259,2025-01-03,-0.073009656070529
678,679,0.12484069270532763,0.5496813854109109,-0.3000000000002557,1,2025-01-03 14:19:00,2025-01-03 14:20:00,QQQ,0.4319654703140259,2025-01-03,0.08484069270532762
684,685,0.1544080477201427,-0.3000000000000231,0.6088160954403085,1,2025-01-03 14:25:00,2025-01-03 14:26:00,QQQ,0.408713698387146,2025-01-03,0.11440804772014268
691,692,0.2621076889314567,0.824215377863192,-0.3000000000002786,1,2025-01-03 14:32:00,2025-01-03 14:33:00,QQQ,0.536796510219574,2025-01-03,0.2221076889314567
699,700,0.29725979204138464,-0.29999999999985344,0.8945195840826228,1,2025-01-03 14:40:00,2025-01-03 14:41:00,QQQ,0.5859213471412659,2025-01-03,0.25725979204138466
702,703,0.6744001446887654,-0.2999999999997032,1.648800289377234,1,2025-01-03 14:43:00,2025-01-03 14:44:00,QQQ,0.5859213471412659,2025-01-03,0.6344001446887654
704,705,0.25011541124881914,-0.3000000000000831,0.8002308224977214,1,2025-01-03 14:45:00,2025-01-03 14:46:00,QQQ,0.5,2025-01-03,0.21011541124881913
782,783,1.0290108982388209,2.358021796477554,-0.29999999999991217,1,2025-01-06 09:33:00,2025-01-06 09:34:00,QQQ,0.4174528121948242,2025-01-06,0.9890108982388208
784,785,0.724130062749538,0.4845407872219527,0.9637193382771232,1,2025-01-06 09:35:00,2025-01-06 09:36:00,QQQ,0.5859213471412659,2025-01-06,0.6841300627495379
787,788,0.0818680485817585,-0.29999999999995797,0.46373609716347497,1,2025-01-06 09:38:00,2025-01-06 09:39:00,QQQ,0.8108108043670654,2025-01-06,0.0418680485817585
790,791,0.05667610285443925,0.41335220570884773,-0.29999999999996924,1,2025-01-06 09:41:00,2025-01-06 09:42:00,QQQ,0.5859213471412659,2025-01-06,0.016676102854439247
794,795,0.43112293671526525,1.1622458734306038,-0.3000000000000733,1,2025-01-06 09:45:00,2025-01-06 09:46:00,QQQ,0.6460905075073242,2025-01-06,0.39112293671526527
798,800,0.35623698548079397,0.256399577830326,0.45607439313126186,2,2025-01-06 09:49:00,2025-01-06 09:51:00,QQQ,0.4319654703140259,2025-01-06,0.316236985480794
802,803,0.37734260847460144,1.05468521694921,-0.3000000000000072,1,2025-01-06 09:53:00,2025-01-06 09:54:00,QQQ,0.5268816947937012,2025-01-06,0.33734260847460146
806,807,0.3329913305628086,0.11646360252174143,0.5495190586038758,1,2025-01-06 09:57:00,2025-01-06 09:58:00,QQQ,0.536796510219574,2025-01-06,0.2929913305628086
810,811,-0.05947542232949585,-0.3000000000000557,0.18104915534106403,1,2025-01-06 10:01:00,2025-01-06 10:02:00,QQQ,0.4319654703140259,2025-01-06,-0.09947542232949586
813,814,0.028561877878354486,-0.3000000000000887,0.35712375575679767,1,2025-01-06 10:04:00,2025-01-06 10:05:00,QQQ,0.4319654703140259,2025-01-06,-0.011438122121645515
815,816,0.08195970695969487,0.46391941391935426,-0.2999999999999645,1,2025-01-06 10:06:00,2025-01-06 10:07:00,QQQ,0.801630437374115,2025-01-06,0.04195970695969487
817,818,0.04636465084331007,0.3927293016867336,-0.30000000000011345,1,2025-01-06 10:08:00,2025-01-06 10:09:00,QQQ,0.5,2025-01-06,0.006364650843310067
822,823,0.22015713911803939,0.7403142782361184,-0.3000000000000396,1,2025-01-06 10:13:00,2025-01-06 10:14:00,QQQ,0.6348623633384705,2025-01-06,0.18015713911803938
838,839,0.15336859657449312,0.1975396711462718,0.10919752200271443,1,2025-01-06 10:29:00,2025-01-06 10:30:00,QQQ,0.4319654703140259,2025-01-06,0.11336859657449311
844,845,0.22179252566278176,-0.2999999999999919,0.7435850513255554,1,2025-01-06 10:35:00,2025-01-06 10:36:00,QQQ,0.4174528121948242,2025-01-06,0.18179252566278176
848,849,0.3935070330583926,0.2154549231410489,0.5715591429757363,1,2025-01-06 10:39:00,2025-01-06 10:40:00,QQQ,0.4319654703140259,2025-01-06,0.3535070330583926
858,859,0.018181101119879473,-0.3000000000001076,0.33636220223986657,1,2025-01-06 10:49:00,2025-01-06 10:50:00,QQQ,0.408713698387146,2025-01-06,-0.02181889888012053
860,861,-0.03015075376877209,-0.2999999999998715,0.2396984924623273,1,2025-01-06 10:51:00,2025-01-06 10:52:00,QQQ,0.4319654703140259,2025-01-06,-0.07015075376877208
864,865,0.24556831818978309,0.17716440939501643,0.31397222698454974,1,2025-01-06 10:55:00,2025-01-06 10:56:00,QQQ,0.536796510219574,2025-01-06,0.20556831818978308
866,867,0.10317593459180047,-0.30000000000001603,0.506351869183617,1,2025-01-06 10:57:00,2025-01-06 10:58:00,QQQ,0.6460905075073242,2025-01-06,0.06317593459180046
868,869,0.03455067669708642,-0.3000000000001395,0.3691013533943123,1,2025-01-06 10:59:00,2025-01-06 11:00:00,QQQ,0.5859213471412659,2025-01-06,-0.005449323302913582
871,872,0.15749041471414182,-0.2999999999999874,0.614980829428271,1,2025-01-06 11:02:00,2025-01-06 11:03:00,QQQ,0.408713698387146,2025-01-06,0.11749041471414182
880,881,0.4538895152196807,0.2058624577222344,0.7019165727171269,1,2025-01-06 11:11:00,2025-01-06 11:12:00,QQQ,0.504273533821106,2025-01-06,0.4138895152196807
886,887,0.39681610349040486,-0.29999999999995947,1.0936322069807691,1,2025-01-06 11:17:00,2025-01-06 11:18:00,QQQ,0.5859213471412659,2025-01-06,0.3568161034904049
971,972,0.6649086325242345,0.37893671445113214,0.9508805505973369,1,2025-01-06 12:42:00,2025-01-06 12:43:00,QQQ,0.4319654703140259,2025-01-06,0.6249086325242345
991,992,1.0500976638799369,1.0813501054769066,1.0188452222829671,1,2025-01-06 13:02:00,2025-01-06 13:03:00,QQQ,0.504273533821106,2025-01-06,1.0100976638799368
1050,1051,0.3131343889566527,-0.2999999999998692,0.9262687779131745,1,2025-01-06 14:01:00,2025-01-06 14:02:00,QQQ,0.6460905075073242,2025-01-06,0.2731343889566527
1076,1077,0.3067568491173893,0.9135136982346542,-0.2999999999998756,1,2025-01-06 14:27:00,2025-01-06 14:28:00,QQQ,0.4174528121948242,2025-01-06,0.26675684911738934
1137,1138,0.03663268022033153,-0.30000000000020954,0.3732653604408726,1,2025-01-06 15:28:00,2025-01-06 15:29:00,QQQ,0.6348623633384705,2025-01-06,-0.0033673197796684692
1139,1140,0.5645533532447676,1.4291067064893144,-0.29999999999977917,1,2025-01-06 15:30:00,2025-01-06 15:31:00,QQQ,0.6348623633384705,2025-01-06,0.5245533532447676
1146,1147,0.3670873477186912,-0.2999999999997986,1.034174695437181,1,2025-01-06 15:37:00,2025-01-06 15:38:00,QQQ,0.504273533821106,2025-01-06,0.32708734771869125
1193,1194,0.034080359463747656,-0.2999999999999462,0.3681607189274415,1,2025-01-07 09:54:00,2025-01-07 09:55:00,QQQ,0.4319654703140259,2025-01-07,-0.005919640536252345
1239,1240,0.21595608363917068,0.7319121672782619,-0.29999999999992055,1,2025-01-07 10:40:00,2025-01-07 10:41:00,QQQ,0.6460905075073242,2025-01-07,0.17595608363917067
1264,1265,0.572725664359099,-0.29999999999997423,1.4454513287181723,1,2025-01-07 11:05:00,2025-01-07 11:06:00,QQQ,0.4319654703140259,2025-01-07,0.532725664359099
1386,1387,0.040354719845614034,-0.30000000000001803,0.3807094396912461,1,2025-01-07 13:07:00,2025-01-07 13:08:00,QQQ,0.6348623633384705,2025-01-07,0.0003547198456140335
1390,1391,0.05182684670381632,-0.30000000000000004,0.4036536934076327,1,2025-01-07 13:11:00,2025-01-07 13:12:00,QQQ,0.6460905075073242,2025-01-07,0.01182684670381632
1392,1393,-0.08256312370234661,0.13487375259547624,-0.30000000000016946,1,2025-01-07 13:13:00,2025-01-07 13:14:00,QQQ,0.536796510219574,2025-01-07,-0.12256312370234662
1394,1395,0.29250402632853634,-0.30000000000002786,0.8850080526571005,1,2025-01-07 13:15:00,2025-01-07 13:16:00,QQQ,0.6348623633384705,2025-01-07,0.25250402632853636
