offset,tp,sl,n,ev,wr,sharpe,tp_rate,sl_rate,timeout_rate,no_trigger_rate
0.1,1.5,0.15,21762,-0.08268652312581809,0.10141531109273044,-2.635525937828201,0.10136935943387557,0.8985846889072695,4.595165885488466e-05,0.0
0.15,1.0,0.5,21762,-0.08396746622553074,0.37735502251631287,-1.8332628913548092,0.37735502251631287,0.6226449774836872,0.0,0.0
0.1,1.2,0.15,21762,-0.08548387096774196,0.12186379928315412,-3.072786488957978,0.12186379928315412,0.8781362007168458,0.0,0.0
0.1,0.5,0.3,21762,-0.08605826670342799,0.39242716662071503,-3.4972298157993023,0.39242716662071503,0.607572833379285,0.0,0.0
0.1,0.5,0.22,21762,-0.08813895781637718,0.3220292252550317,-4.158939040424044,0.3220292252550317,0.6779707747449683,0.0,0.0
0.15,0.8,0.5,21762,-0.08835125448028673,0.4320374965536256,-2.1779559191589124,0.4320374965536256,0.5679625034463744,0.0,0.0
0.1,1.0,0.15,21762,-0.0898814447201544,0.13923352633030053,-3.5839165742647783,0.13923352633030053,0.8607664736696995,0.0,0.0
0.15,1.5,0.3,21762,-0.09240673269544132,0.19874092454737616,-2.0427810683415473,0.19855711791195663,0.8012590754526239,0.00018380663541953864,0.0
0.15,1.2,0.3,21762,-0.09491463626161277,0.23674294642036578,-2.36316467092309,0.2366969947615109,0.7632570535796342,4.595165885488466e-05,0.0
0.1,0.8,0.15,21762,-0.0969924639279478,0.16106056428637075,-4.409148682919434,0.16106056428637075,0.8389394357136293,0.0,0.0
0.15,1.0,0.3,21762,-0.1028673835125448,0.2670250896057348,-2.8393179123502446,0.2670250896057348,0.7329749103942652,0.0,0.0
0.15,0.8,0.3,21762,-0.11042643139417332,0.30870324418711514,-3.4496717051540866,0.30870324418711514,0.6912967558128849,0.0,0.0
0.1,0.5,0.15,21762,-0.12153524492234172,0.19763808473485892,-7.453644628193844,0.19763808473485892,0.8023619152651411,0.0,0.0
0.2,2.0,0.5,21762,-0.12164904121079959,0.2333425236651043,-1.8378588918053231,0.228287841191067,0.7659222497932175,0.005789909015715467,0.0
0.15,0.5,0.5,21762,-0.12196948809852036,0.5280305119014796,-3.878510759069179,0.5280305119014796,0.47196948809852035,0.0,0.0
0.2,1.5,0.5,21762,-0.1280165316175787,0.2863707379836412,-2.2498846841887183,0.28526789817112397,0.713537358698649,0.0011947431302270011,0.0
0.2,1.2,0.5,21762,-0.13561777956567406,0.33204668688539657,-2.689346975642741,0.3319088319088319,0.6679533131146035,0.00013785497656465398,0.0
0.2,1.0,0.5,21762,-0.14198521800961386,0.3720246300891462,-3.108907676350908,0.3719786784302913,0.6279753699108538,4.595165885488466e-05,0.0
0.15,0.5,0.3,21762,-0.14249149894311183,0.3843856263211102,-5.8124776116063295,0.3843856263211102,0.6156143736788898,0.0,0.0
