entry_idx,exit_idx,total_pnl_atr,symbol,variant,move_atr
7280,7281,0.08617142413499962,QQQ,orig,
7284,7285,0.49529784812230543,QQQ,orig,
7292,7293,0.09515717926934628,QQQ,orig,
7305,7306,0.6282458502884827,QQQ,orig,
7314,7315,0.18967093235850713,QQQ,orig,
7335,7336,0.04244538752414548,QQQ,orig,
7338,7339,0.0015090543259582145,QQQ,orig,
7341,7342,0.3457383400391243,QQQ,orig,
7343,7344,-0.069053650592255,QQQ,orig,
7346,7347,0.39790732436478643,QQQ,orig,
7349,7350,0.4045035514580044,QQQ,orig,
7351,7352,0.5739716210403614,QQQ,orig,
7353,7355,0.24034677308367647,QQQ,orig,
7356,7357,0.5996627900800302,QQQ,orig,
7363,7364,-0.04241361392553711,QQQ,orig,
7365,7366,0.18699650402790155,QQQ,orig,
7367,7368,0.3672190996480804,QQQ,orig,
7372,7373,0.4089459698848495,QQQ,orig,
7379,7380,0.7467092773068033,QQQ,orig,
7390,7391,1.5411238954743416,QQQ,orig,
7411,7412,0.13537809409520465,QQQ,orig,
7416,7417,0.19872856638741523,QQQ,orig,
7418,7419,0.0015202177869484967,QQQ,orig,
7420,7421,-0.08160895683711052,QQQ,orig,
7422,7423,0.006077847665720448,QQQ,orig,
7424,7425,0.07438367102504684,QQQ,orig,
7427,7429,-0.059652355984690486,QQQ,orig,
7430,7431,0.22334664727867082,QQQ,orig,
7437,7438,0.3243539617222653,QQQ,orig,
7440,7441,0.1025130770980163,QQQ,orig,
7443,7444,0.10025158103676315,QQQ,orig,
7447,7448,0.5205545424190654,QQQ,orig,
7451,7452,0.49233770974698954,QQQ,orig,
7453,7454,0.4013293202907886,QQQ,orig,
7455,7456,0.01425066062672209,QQQ,orig,
7459,7460,-0.02838380938708411,QQQ,orig,
7461,7462,0.05425963488832422,QQQ,orig,
7466,7468,-0.04273077207796247,QQQ,orig,
7476,7477,0.31805687898563817,QQQ,orig,
7478,7479,0.039043446843417234,QQQ,orig,
7480,7481,0.04511327141768126,QQQ,orig,
7496,7497,0.013347320002039531,QQQ,orig,
7529,7530,0.47724259650720235,QQQ,orig,
7589,7590,-0.04127134724878666,QQQ,orig,
7616,7617,0.2149000464897927,QQQ,orig,
7639,7640,2.527629966944507,QQQ,orig,
